Cell type,Gene
Naive CD4,AC000068.3
Naive CD4,AC005674.2
Naive CD4,AC005920.1
Naive CD4,AC006252.1
Naive CD4,AC009041.2
Naive CD4,AC011726.3
Naive CD4,AC012618.3
Naive CD4,AC018754.1
Naive CD4,AC019257.1
Naive CD4,AC022113.1
Naive CD4,AC024257.3
Naive CD4,AC040160.2
Naive CD4,AC053527.1
Naive CD4,AC078883.2
Naive CD4,AC087645.4
Naive CD4,AC092028.1
Naive CD4,AC093503.3
Naive CD4,AC093642.1
Naive CD4,AC103563.2
Naive CD4,AC103563.7
Naive CD4,AC122129.1
Naive CD4,AC127024.6
Naive CD4,AC127496.5
Naive CD4,AC141424.1
Naive CD4,AC144521.1
Naive CD4,ACVR1C
Naive CD4,ADGRE4P
Naive CD4,ADPRM
Naive CD4,ADTRP
Naive CD4,AK5
Naive CD4,AKR1E2
Naive CD4,AL031280.1
Naive CD4,AL080250.1
Naive CD4,ANKRD55
Naive CD4,AP000873.2
Naive CD4,ARMCX4
Naive CD4,B4GALT4
Naive CD4,BAG3
Naive CD4,CAMSAP2
Naive CD4,CAND2
Naive CD4,CCR12P
Naive CD4,CELA1
Naive CD4,CERS3
Naive CD4,CFL1P1
Naive CD4,CHRM3-AS2
Naive CD4,CRLF3
Naive CD4,DACT1
Naive CD4,DNAH6
Naive CD4,DPYSL4
Naive CD4,EDA
Naive CD4,EDAR
Naive CD4,EFNA1
Naive CD4,EPHA1-AS1
Naive CD4,EPHX2
Naive CD4,EPPK1
Naive CD4,FAM122A
Naive CD4,FAM13A
Naive CD4,FAM153A
Naive CD4,FAM153B
Naive CD4,FHIT
Naive CD4,FIRRE
Naive CD4,GCAT
Naive CD4,GIMAP3P
Naive CD4,GPC2
Naive CD4,GPRASP1
Naive CD4,GPRC5B
Naive CD4,GSTM2
Naive CD4,GSTM3
Naive CD4,HEMGN
Naive CD4,HOOK1
Naive CD4,IL6ST
Naive CD4,KDM4A-AS1
Naive CD4,KLF3-AS1
Naive CD4,KLHL15
Naive CD4,KRT2
Naive CD4,KRT72
Naive CD4,KRT73
Naive CD4,KRT73-AS1
Naive CD4,LCAT
Naive CD4,LEF1-AS1
Naive CD4,LGALS17A
Naive CD4,LINC00205
Naive CD4,LINC00565
Naive CD4,LINC01395
Naive CD4,LINC01550
Naive CD4,LINC01891
Naive CD4,LINC02298
Naive CD4,LMO7
Naive CD4,LRP6
Naive CD4,LRRC29
Naive CD4,LZTS3
Naive CD4,MAN1C1
Naive CD4,MDS2
Naive CD4,ME3
Naive CD4,MTA3
Naive CD4,NAGPA-AS1
Naive CD4,NKD1
Naive CD4,NKILA
Naive CD4,OBSCN
Naive CD4,OBSCN-AS1
Naive CD4,PDCD6IPP2
Naive CD4,PDZD2
Naive CD4,PLEKHH2
Naive CD4,PLLP
Naive CD4,PXYLP1
Naive CD4,RBM11
Naive CD4,RNF144A
Naive CD4,RNF144A-AS1
Naive CD4,SATB1
Naive CD4,SATB1-AS1
Naive CD4,SCARNA21
Naive CD4,SCML1
Naive CD4,SCNN1A
Naive CD4,SEC24B-AS1
Naive CD4,SERPINE2
Naive CD4,SLC22A17
Naive CD4,SMARCA1
Naive CD4,SNORA12
Naive CD4,SNPH
Naive CD4,SORCS3
Naive CD4,SOX8
Naive CD4,SPATA32
Naive CD4,SPATA41
Naive CD4,THA1P
Naive CD4,TMEM177
Naive CD4,TMIE
Naive CD4,TNFRSF10D
