geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId,cancer,method,logFDR
GO:0032623,interleukin-2 production,http://amigo.geneontology.org/amigo/term/GO:0032623,55,13,1.987111768,6.542158426,5.24E-08,2.26E-05,301;861;920;942;3553;3606;3662;5142;7128;7538;8767;9455;64170,ZFP36;TNFAIP3;ANXA1;IL18;IL1B;RIPK2;CD4;PDE4B;RUNX1;CD86;CARD9;IRF4;HOMER2,HeadandNeck,pos,4.646558466
GO:0043620,regulation of DNA-templated transcription in response to stress,http://amigo.geneontology.org/amigo/term/GO:0043620,68,14,2.456792732,5.698486412,1.04E-07,2.26E-05,467;468;1649;1958;3303;3337;3725;4780;7422;8440;9531;9774;10370;112399,DNAJB1;JUN;ATF3;HSPA1A;EGR1;CITED2;BCLAF1;BAG3;EGLN3;DDIT3;VEGFA;NCK2;ATF4;NFE2L2,HeadandNeck,pos,4.646558466
GO:0035976,transcription factor AP-1 complex,http://amigo.geneontology.org/amigo/term/GO:0035976,5,5,0.176699029,28.2967033,5.37E-08,4.50E-05,1649;2353;3725;3726;3727,FOS;JUN;JUNB;JUND;DDIT3,HeadandNeck,CC,4.346994117
GO:0003823,antigen binding,http://amigo.geneontology.org/amigo/term/GO:0003823,50,12,1.783090036,6.72989011,1.26E-07,0.000170407,909;910;911;913;958;2217;3115;3117;3119;3134;3575;11006,HLA-F;CD1C;CD1E;CD1A;FCGRT;LILRB4;HLA-DQB1;CD1B;IL7R;HLA-DPB1;HLA-DQA1;CD40,HeadandNeck,MF,3.768513296
GO:0004896,cytokine receptor activity,http://amigo.geneontology.org/amigo/term/GO:0004896,78,14,2.781620457,5.033037475,5.39E-07,0.000364386,920;1235;1236;1438;1439;1441;2322;2829;3459;3460;3575;3587;3597;7852,CSF2RA;CXCR4;FLT3;CSF2RB;IL13RA1;CCR7;CD4;IL7R;IL10RA;XCR1;IFNGR2;CSF3R;IFNGR1;CCR6,HeadandNeck,MF,3.438438664
GO:0042611,MHC protein complex,http://amigo.geneontology.org/amigo/term/GO:0042611,18,7,0.636116505,11.0042735,1.48E-06,0.000618849,3109;3111;3115;3117;3118;3119;3134,HLA-F;HLA-DQB1;HLA-DPB1;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DMB,HeadandNeck,CC,3.208415341
GO:0042613,MHC class II protein complex,http://amigo.geneontology.org/amigo/term/GO:0042613,13,6,0.459417476,13.06001691,2.60E-06,0.000726151,3109;3111;3115;3117;3118;3119,HLA-DQB1;HLA-DPB1;HLA-DQA2;HLA-DOA;HLA-DQA1;HLA-DMB,HeadandNeck,CC,3.138972806
GO:0030882,lipid antigen binding,http://amigo.geneontology.org/amigo/term/GO:0030882,5,4,0.178309004,22.43296703,7.73E-06,0.002091357,909;910;911;913,CD1C;CD1E;CD1A;CD1B,HeadandNeck,MF,2.679571833
GO:0030883,endogenous lipid antigen binding,http://amigo.geneontology.org/amigo/term/GO:0030883,5,4,0.178309004,22.43296703,7.73E-06,0.002091357,909;910;911;913,CD1C;CD1E;CD1A;CD1B,HeadandNeck,MF,2.679571833
GO:0030884,exogenous lipid antigen binding,http://amigo.geneontology.org/amigo/term/GO:0030884,5,4,0.178309004,22.43296703,7.73E-06,0.002091357,909;910;911;913,CD1C;CD1E;CD1A;CD1B,HeadandNeck,MF,2.679571833
