geneSet,description,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId,cancer,logFDR
R-HSA-381119,Unfolded Protein Response (UPR),84,22,2.35694051,9.334134615,4.44E-16,7.10E-13,10130;10897;10952;10954;11231;2081;23480;27230;29927;4189;468;51726;5611;58477;64764;7095;7184;7494;84447;8720;9451;9709,XBP1;SEC61B;CREB3L2;HERPUD1;HSP90B1;SEC62;PDIA5;SRPRB;ERN1;SERP1;PDIA6;DNAJB11;DNAJB9;DNAJC3;SEC61G;SYVN1;ATF4;EIF2AK3;MBTPS1;SEC61A1;YIF1A;SEC63,Pancreatic,12.148953
R-HSA-381070,IRE1alpha activates chaperones,50,16,1.40294078,11.40461538,1.76E-13,1.41E-10,10130;10897;10952;10954;11231;2081;23480;27230;29927;4189;51726;5611;58477;7095;7494;84447,XBP1;SEC61B;SEC62;PDIA5;SRPRB;ERN1;SERP1;PDIA6;DNAJB11;DNAJB9;DNAJC3;SEC61G;SYVN1;SEC61A1;YIF1A;SEC63,Pancreatic,9.851466064
R-HSA-381038,XBP1(S) activates chaperone genes,48,15,1.346823149,11.13731971,1.54E-12,8.18E-10,10130;10897;10952;10954;11231;23480;27230;29927;4189;51726;5611;58477;7095;7494;84447,XBP1;SEC61B;SEC62;PDIA5;SRPRB;SERP1;PDIA6;DNAJB11;DNAJB9;DNAJC3;SEC61G;SYVN1;SEC61A1;YIF1A;SEC63,Pancreatic,9.087186479
R-HSA-446203,Asparagine N-linked glycosylation,215,24,6.032645353,3.978354204,5.67E-09,2.27E-06,10282;10802;10945;10956;10972;11014;11316;1603;1650;3998;51128;51226;54187;54344;54732;55757;6185;6400;6480;79139;84447;8703;966;9761,ST6GAL1;LMAN1;SEL1L;RPN2;KDELR1;TMED9;TMED10;KDELR2;DPM3;DERL1;COPE;DDOST;COPZ2;CD59;NANS;SAR1B;SYVN1;MLEC;SEC24A;BET1;OS9;DAD1;UGGT2;B4GALT3,Pancreatic,5.644759322
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,108,15,3.030352084,4.949919872,2.78E-07,8.88E-05,10952;1650;23471;23480;28972;29927;58477;60559;6171;6185;6746;6747;6748;90701;9789,SEC11C;SSR4;SEC61B;SPCS3;SSR3;SPCS2;SPCS1;RPN2;SRPRB;TRAM1;DDOST;SEC61G;RPL41;SEC61A1;SSR2,Pancreatic,4.051347964
R-HSA-72766,Translation,241,22,6.762174558,3.253391318,9.10E-07,0.000242365,10240;10952;1650;2058;23471;23480;28972;29927;54998;58477;60559;6150;6171;6185;64976;6746;6747;6748;8894;90701;9669;9789,SEC11C;SSR4;SEC61B;SPCS3;SSR3;SPCS2;SPCS1;RPN2;MRPS31;SRPRB;TRAM1;MRPL40;DDOST;SEC61G;EIF2S2;RPL41;SEC61A1;MRPL23;AURKAIP1;EIF5B;EPRS;SSR2,Pancreatic,3.615530136
R-HSA-611105,Respiratory electron transport,71,11,1.992175907,5.521600758,3.81E-06,0.000870179,27089;4694;4697;4709;4710;4716;4726;4731;51079;7388;9377,NDUFB4;UQCRQ;NDUFA1;NDUFS6;NDUFA13;NDUFA4;UQCRH;NDUFV3;NDUFB10;COX5A;NDUFB3,Pancreatic,3.060391343
R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",76,11,2.132469985,5.158337551,7.54E-06,0.001506032,27089;4694;4697;4709;4710;4716;4726;4731;51079;7388;9377,NDUFB4;UQCRQ;NDUFA1;NDUFS6;NDUFA13;NDUFA4;UQCRH;NDUFV3;NDUFB10;COX5A;NDUFB3,Pancreatic,2.822165929
R-HSA-1428517,The citric acid (TCA) cycle and respiratory electron transport,119,13,3.338999056,3.893382353,2.61E-05,0.004634064,27089;3029;4694;4697;4709;4710;4716;4726;4731;51079;5163;7388;9377,PDK1;NDUFB4;UQCRQ;NDUFA1;NDUFS6;NDUFA13;NDUFA4;UQCRH;NDUFV3;NDUFB10;COX5A;HAGH;NDUFB3,Pancreatic,2.334038018
R-HSA-6799198,Complex I biogenesis,35,7,0.982058546,7.127884615,4.27E-05,0.006815711,4694;4709;4710;4716;4726;4731;51079,NDUFB4;NDUFA1;NDUFS6;NDUFA13;NDUFV3;NDUFB10;NDUFB3,Pancreatic,2.166488817
